Year,Month,Day,Time,Flight_Time_(s),Sync,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Quat_1,Quat_2,Quat_3,Quat_4,Aux_Volts,Current
2025,5,4,04:21.0,-2.038,53,-0.3,0,0,1,0,0,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.0,-2.036,55,-0.2,0,0,0.99,0,0.04,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.0,-2.034,57,-0.3,0,0,0.99,0,0,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.0,-2.032,59,0,0.4,0.1,0.99,0.02,-0.01,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.0,-2.03,61,-0.1,0,0,1,0,0.01,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.0,-2.028,63,0,0,0,0.99,0,0,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.0,-2.026,65,0,0,0.1,1,0,-0.03,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.0,-2.024,67,-0.2,0.1,-0.1,1,0,0.02,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.0,-2.022,69,-0.1,-0.2,0,0.99,0,0.02,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.1,-2.02,71,0,0,0.1,1,0.02,-0.03,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.1,-2.018,73,0.2,0,0,1,0,0.01,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.1,-2.016,75,-0.4,0,0,1,0,0.05,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.1,-2.014,77,0.1,0,0.1,0.99,0,-0.03,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.1,-2.012,79,-0.1,0,0.1,1,0,0,0.99997,-0.00067,-0.00003,0,0.015,0
2025,5,4,04:21.1,-2.01,81,0,0,0,0.99,0,0.04,0.99997,-0.00067,-0.00003,0,0.016,0
2025,5,4,04:21.1,-2.008,83,-0.2,0,0.1,1,0.01,-0.02,0.99997,-0.00067,0,0,0.015,0
2025,5,4,04:21.1,-2.006,85,-0.2,0,0,0.99,0,-0.01,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-2.004,87,-0.1,0.2,0,1,0,0.02,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-2.002,89,0,0,0,0.98,0,0.02,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-2,91,-0.4,0,0.1,0.99,0.01,-0.01,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-1.998,93,-0.1,0.1,0,1,0,0.03,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-1.996,95,-0.2,0,0.1,1,0.01,0.02,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-1.994,97,-0.2,0,0.1,0.99,0,-0.03,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-1.992,99,-0.3,0,0,0.99,0.01,0,0.99997,-0.0007,0,0,0.015,0
2025,5,4,04:21.1,-1.99,101,-0.5,0,0,0.99,0,0.03,0.99997,-0.00073,0,0,0.015,0
2025,5,4,04:21.1,-1.988,103,-0.2,-0.1,0.1,0.98,0,-0.01,0.99997,-0.00073,0,0,0.016,0
2025,5,4,04:21.1,-1.986,105,-0.3,0,0,0.99,0,0,0.99997,-0.00073,0,0,0.015,0
2025,5,4,04:21.1,-1.984,107,-0.1,0,0,1,-0.01,0.03,0.99997,-0.00073,0,0,0.015,0
2025,5,4,04:21.1,-1.982,109,-0.4,0,0,0.99,0.01,0,0.99997,-0.00073,0,0,0.015,0
2025,5,4,04:21.1,-1.98,111,-0.1,0,0,0.99,0,-0.01,0.99997,-0.00073,0,0,0.015,0
2025,5,4,04:21.1,-1.978,113,-0.1,0,0.1,1,0.01,0.01,0.99997,-0.00077,0,0,0.015,0
2025,5,4,04:21.1,-1.976,115,-0.2,0,0,0.98,0,0.01,0.99997,-0.00077,0,0,0.016,0
2025,5,4,04:21.1,-1.974,117,-0.2,0,0,0.97,0,0,0.99997,-0.00077,0,0,0.015,0
2025,5,4,04:21.1,-1.972,119,-0.3,0,0,1.01,0,0,0.99997,-0.00077,0,0,0.015,0
2025,5,4,04:21.1,-1.97,121,-0.2,0,0,0.99,0,0.03,0.99997,-0.00077,0,0,0.015,0
2025,5,4,04:21.1,-1.968,123,-0.4,0,0,1.01,-0.01,0,0.99997,-0.00077,0,0,0.015,0
2025,5,4,04:21.1,-1.966,125,-0.3,0,0,1.02,0,0,0.99997,-0.0008,0,0,0.016,0
2025,5,4,04:21.1,-1.964,127,-0.4,0.2,0,0.99,0,0.05,0.99997,-0.0008,0,0,0.015,0
2025,5,4,04:21.1,-1.962,129,-0.3,-0.1,0.1,1,0.01,0,0.99997,-0.0008,0,0,0.015,0
2025,5,4,04:21.1,-1.96,131,-0.4,0,0,1,0,-0.01,0.99997,-0.0008,0,0,0.015,0
2025,5,4,04:21.1,-1.958,133,-0.4,0,0,0.98,0,0.01,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.956,135,-0.1,0.2,0.1,1,0,0.01,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.954,137,-0.5,-0.1,0,0.99,0.01,0,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.952,139,-0.4,0.2,0,0.98,0,0,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.95,141,-0.3,0,0,0.99,0,0,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.948,143,-0.2,0,0,0.98,0,0,0.99997,-0.00083,0,0,0.015,0
2025,5,4,04:21.1,-1.946,145,-0.1,0,0,0.97,-0.01,0.02,0.99997,-0.00087,0,0,0.015,0
