timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.02,0.98,0.06,-0.02,-0.3,0,-0.1,-1.4,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.02,0.99,0.06,-0.02,-0.2,0,0,-1.4,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.05,-0.03,0.99,0.05,-0.03,0,0,0.2,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.01,0.99,0.06,-0.01,-0.1,-0.1,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.02,0.99,0.06,-0.02,-0.2,0,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.01,0.99,0.06,-0.01,-0.1,0,0.1,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.05,-0.01,0.98,0.05,-0.01,0,0,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.02,0.99,0.06,-0.02,-0.1,0,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.05,-0.01,1,0.05,-0.01,-0.1,0,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.03,0.98,0.06,-0.03,0.1,0,-0.1,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.02,0.98,0.06,-0.02,0,-0.1,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.05,-0.02,1,0.05,-0.02,-0.1,-0.1,0,3.4,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.05,-0.01,0.98,0.05,-0.01,0,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.03,0.98,0.06,-0.03,0.1,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.05,-0.03,0.98,0.05,-0.03,0,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.01,0.99,0.06,-0.01,-0.1,0,-0.1,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.05,-0.02,0.99,0.05,-0.02,0.2,0.1,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0.06,-0.02,0.99,0.06,-0.02,0,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.02,0.98,0.06,-0.02,0.1,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.98,0.06,-0.01,0.98,0.06,-0.01,0.2,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.06,-0.01,1,0.06,-0.01,0.2,0,0,3.4,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
