timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
2,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
6,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
8,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
10,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
12,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
14,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
16,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
18,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
20,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
22,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
24,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
26,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
28,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
30,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
32,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
34,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
36,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
38,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
40,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
42,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
44,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0
46,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
48,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
50,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
52,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0,0,0.00003
54,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0.00003,0,0.00003
56,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0.00003,0,0.00003
58,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,1,0.00003,0,0
