timestamp_ms,rssi,snr,timestamp_s_server_side,total_packet_count_av,total_packet_count_gse,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,navigationStatus,qw,qx,qy,qz
0,0,0,0,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
1000,0,0,1,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
2000,0,0,2,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
3000,0,0,3,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
4000,0,0,4,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
5000,0,0,5,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
6000,0,0,6,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
7000,0,0,7,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
8000,0,0,8,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
9000,0,0,9,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
10000,0,0,10,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
11000,0,0,11,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
12000,0,0,12,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
13000,0,0,13,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
14000,0,0,14,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
15000,0,0,15,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
16000,0,0,16,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
17000,0,0,17,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
18000,0,0,18,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
19000,0,0,19,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
20000,0,0,20,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
21000,0,0,21,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
22000,0,0,22,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
23000,0,0,23,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
24000,0,0,24,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
25000,0,0,25,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
26000,0,0,26,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
27000,0,0,27,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
28000,0,0,28,0,0,0,0,0,1,0,0,31.0423909,-103.522765,G3,1,0,0,0
