timestamp_ms,rtd_top,rtd_middle,rtd_bottom,bottle_pressure,tank_pressure,o2_pressure,rocket_weight,rocket_weight_tare,vent_temp,n2o_temp
180700,5252.94,-241.73,-238.15,43.79,0.12,7.26,30.4,1.02,38.14,38.84
180800,5252.11,-241.1,-238.65,43.53,0,7.3,29.57,0.19,37.25,39.03
180900,5250.44,-240.98,-238.65,43.59,-0.1,7.22,29.82,0.43,44.21,38.72
181000,5256.68,-242.14,-238.65,43.79,-0.04,7.18,28.89,-0.49,37.52,39.38
181100,5253.35,-241.27,-238.36,43.49,0.12,7.18,29.12,-0.27,39.96,38.57
181200,5249.61,-241.27,-238.27,43.79,0.12,7.4,29.01,-0.38,43.2,39.27
181300,5248.36,-240.98,-238.69,43.43,0.02,7.28,30.42,1.04,42.59,38.61
181400,5253.35,-241.85,-238.44,43.53,0.22,7.42,28.97,-0.41,46.28,39.19
181500,5258.76,-240.69,-238.15,43.81,0.36,7.4,29.29,-0.1,34.46,38.38
181600,5247.53,-241.44,-238.4,43.37,0.16,7.36,29.13,-0.26,49.32,38.92
181700,5249.61,-240.85,-238.61,43.73,0.1,7.26,29.59,0.21,27.06,39.27
181800,5250.44,-240.65,-238.77,43.55,0.04,7.12,29.53,0.14,37.83,39.11
181900,5247.53,-240.19,-239.02,43.53,-0.04,7.12,29.39,0,35.35,38.38
182000,5247.95,-240.73,-238.48,43.59,0.12,7.36,29.61,0.22,42.63,37.95
182100,5252.94,-240.27,-239.11,43.45,0.2,7.1,29.37,-0.01,39.42,38.65
182200,5256.68,-241.02,-238.48,43.81,0.1,7.36,29.72,0.34,33.64,38.45
182300,5248.78,-241.39,-237.9,43.43,0.02,7.22,29.36,-0.03,42.43,39.19
182400,5249.19,-239.98,-238.98,43.33,-0.02,7.08,29.76,0.38,43.51,39.11
182500,5256.27,-241.14,-238.44,43.29,0.02,7.24,29.2,-0.18,35.35,38.53
182600,5254.6,-240.56,-238.69,43.67,0.2,7.26,29.14,-0.24,36.75,39.3
182700,5256.27,-241.64,-238.03,43.37,0.06,7.18,29.61,0.22,36.67,38.34
182800,5251.69,-241.44,-238.23,43.49,0.18,7.26,29.35,-0.03,35.82,39.15
182900,5249.61,-240.94,-238.73,43.63,0.26,7.1,29.45,0.06,36.05,38.69
183000,5254.19,-241.06,-238.9,43.43,-0.02,7.26,29.46,0.07,43.71,39.58
183100,5257.51,-241.35,-238.77,43.63,0.14,7.14,29.55,0.16,33.22,38.76
183200,5255.02,-241.1,-238.69,43.75,-0.06,7.28,29.45,0.06,31.04,38.72
183300,5247.53,-241.48,-238.23,43.59,-0.1,7.58,29.39,0,40.58,39.03
183400,5250.44,-241.44,-238.57,43.51,-0.06,7.46,29.01,-0.38,40.19,39.38
183500,5253.35,-241.52,-238.69,43.79,0.18,7.08,29.61,0.22,34.46,38.72
183600,5251.27,-240.19,-238.48,43.31,-0.26,7.54,28.91,-0.47,39.19,39.07
183700,5254.19,-241.35,-238.36,43.61,0.28,7.94,29.34,-0.05,38.76,39.03
183800,5250.03,-240.77,-238.57,43.51,-0.02,7.44,29.25,-0.14,44.55,39
183900,5247.53,-241.64,-238.23,43.69,0.02,7.38,29.09,-0.3,41.35,38.96
184000,5261.26,-242.31,-239.4,43.59,-0.18,7.26,29.12,-0.27,35.7,39.38
184100,5257.51,-241.48,-238.61,43.49,0,7.68,28.91,-0.47,33.37,38.96
184200,5250.86,-242.39,-238.82,43.49,0.1,7.3,29,-0.39,37.33,39.11
184300,5256.68,-241.23,-239.23,43.73,-0.1,7.3,29.26,-0.12,42.7,38.92
184400,5251.27,-240.6,-238.94,43.63,0.1,7.42,28.85,-0.54,30.92,38.76
184500,5251.27,-241.27,-238.19,43.49,-0.14,7.26,29.01,-0.38,40.35,39.03
184600,5248.36,-241.6,-238.36,43.57,0.24,7.28,29.37,-0.01,36.13,39.27
184700,5258.35,-241.64,-238.94,43.53,-0.06,7.42,29.09,-0.3,40.66,39.34
184800,5250.86,-242.27,-238.77,43.73,0.18,7.22,29.28,-0.1,34.15,38.22
184900,5255.85,-242.02,-238.57,43.33,0.24,7.26,28.92,-0.47,31.86,39.38
185000,5252.52,-241.27,-238.65,43.49,0.26,7.62,29.35,-0.03,40.89,39.46
185100,5248.36,-240.98,-238.32,43.53,0,7.3,29.52,0.13,41.7,38.84
185200,5252.52,-241.73,-239.02,43.37,-0.06,7.24,29.05,-0.34,32.17,38.41
185300,5252.11,-240.35,-238.57,43.59,0.1,7.32,29.41,0.02,35.24,38.53
185400,5257.1,-241.14,-238.82,43.67,-0.04,7.5,29.41,0.03,38.03,38.92
185500,5248.78,-241.56,-238.61,43.71,-0.04,7.28,29.98,0.59,36.05,38.76
185600,5254.19,-241.19,-238.65,43.49,-0.02,7.12,29.09,-0.3,36.17,38.84
