# Time (s), Altitude AGL (m), Speed - Velocity Magnitude (m/s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s²), Ay (m/s²), Az (m/s²)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.205237,70.926179
0.005749,0.002345,0.409380,0.000000,0.000000,0.000000,0.000000,6.205970,70.934565
0.011499,0.007034,0.818809,0.000000,0.000000,-0.000000,-0.000000,6.206701,70.942914
0.022997,0.021104,1.637761,0.000000,-0.000000,0.000000,-0.000000,6.208152,70.959503
0.034496,0.044556,2.456905,0.000000,-0.000000,0.000000,0.000000,6.209588,70.975915
0.045994,0.077392,3.276237,0.000000,0.000000,0.000000,-0.000000,6.211014,70.992219
0.160980,0.922498,11.479256,-0.000000,0.000000,-0.000000,0.000000,6.224293,71.143994
0.275965,2.708186,19.698734,0.000000,-0.000000,0.000000,-0.000000,6.235964,71.277389
0.329044,3.850284,23.497934,-0.000000,0.000000,-0.000000,0.000000,6.240826,71.332971
0.334787,3.987054,23.909187,-0.000071,0.000005,0.000000,0.004772,7.086540,71.270739
0.340529,4.126175,24.320475,-0.000145,0.000012,0.000000,0.004808,7.086796,71.276562
0.352014,4.409119,25.143120,-0.000298,0.000029,-0.000000,0.004833,7.087323,71.287968
0.363499,4.701465,25.965898,-0.000461,0.000052,-0.000000,0.004765,7.087939,71.299352
0.374983,5.003216,26.788807,-0.000634,0.000082,0.000000,0.004599,7.088607,71.310170
0.440003,6.888941,31.449994,-0.001820,0.000394,0.000000,0.001718,7.094680,71.368892
0.505023,9.076383,36.114854,-0.003377,0.000996,0.000000,-0.004792,7.106327,71.421236
0.570042,11.565761,40.783018,-0.005315,0.001939,-0.000000,-0.015261,7.126333,71.466881
0.635062,14.357267,45.454091,-0.007618,0.003258,-0.000000,-0.029858,7.157772,71.505478
0.676165,16.277888,48.408276,-0.009237,0.004294,0.000000,-0.041202,7.185077,71.526426
0.717268,18.319348,51.363370,-0.010958,0.005481,0.000000,-0.054102,7.218940,71.543744
0.758371,20.481676,54.319273,-0.012748,0.006811,-0.000000,-0.068441,7.260194,71.558538
0.831243,24.612517,59.561618,-0.015977,0.009466,-0.000000,-0.096854,7.352988,71.576368
0.904116,29.123459,64.805628,-0.019018,0.012361,-0.000000,-0.127713,7.473089,71.583672
0.976989,34.014536,70.050737,-0.021529,0.015266,-0.000000,-0.158912,7.620532,71.580033
1.049861,39.285728,75.296361,-0.023121,0.017870,-0.000000,-0.187735,7.792565,71.565956
1.084016,41.887073,77.754928,-0.023438,0.018884,-0.000000,-0.199525,7.879992,71.555987
1.118170,44.571889,80.213419,-0.023436,0.019714,-0.000000,-0.209763,7.970435,71.543386
1.152325,47.340162,82.671767,-0.023084,0.020323,-0.000000,-0.218122,8.062831,71.528807
1.215021,52.638933,87.183903,-0.021480,0.020759,-0.000000,-0.227637,8.233337,71.496794
1.277717,58.218740,91.694938,-0.018594,0.020151,-0.000000,-0.228089,8.396348,71.458780
1.340413,64.079436,96.204470,-0.014547,0.018422,-0.000000,-0.218507,8.541642,71.415565
1.403109,70.220850,100.712092,-0.009626,0.015616,-0.000000,-0.198802,8.658942,71.368862
1.428597,72.797794,102.543980,-0.007474,0.014205,-0.000000,-0.188083,8.696433,71.348972
1.454086,75.421089,104.375462,-0.005292,0.012669,-0.000000,-0.175981,8.727359,71.328864
1.479574,78.090725,106.206516,-0.003121,0.011032,-0.000000,-0.162667,8.751392,71.308707
1.506956,81.010262,108.173059,-0.000852,0.009198,-0.000000,-0.147250,8.769148,71.285880
1.534337,83.983246,110.139027,0.001294,0.007326,-0.000000,-0.130953,8.778573,71.262753
1.561719,87.009659,112.104389,0.003262,0.005460,-0.000000,-0.114106,8.779776,71.239427
1.582034,89.289534,113.562127,0.004573,0.004108,-0.000000,-0.101451,8.775531,71.222131
1.602349,91.598802,115.019505,0.005733,0.002806,-0.000000,-0.088847,8.767119,71.204496
1.622664,93.937455,116.476502,0.006721,0.001576,-0.000000,-0.076465,8.754753,71.186010
1.663955,98.781457,119.436704,0.008137,-0.000586,-0.000000,-0.055264,8.717040,71.147874
1.705247,103.746762,122.395141,0.008669,-0.002029,-0.000000,-0.037672,8.668128,71.108518
1.746538,108.833306,125.351692,0.008275,-0.002531,-0.000000,-0.023126,8.613887,71.065751
1.787830,114.041016,128.306205,0.006963,-0.002043,-0.000000,-0.011559,8.560689,71.020067
1.802509,115.921624,129.356071,0.006289,-0.001630,-0.000000,-0.008125,8.543291,71.003100
1.817189,117.817533,130.405661,0.005516,-0.001097,-0.000000,-0.005016,8.527122,70.985545
1.831869,119.728740,131.454968,0.004652,-0.000449,-0.000000,-0.002211,8.512470,70.967474
1.878319,125.876881,134.773224,0.001423,0.002281,-0.000000,0.005006,8.478585,70.905240
1.924768,132.178002,138.088368,-0.002269,0.005804,-0.000000,0.010591,8.469566,70.837160
1.971218,138.631956,141.400232,-0.005992,0.009718,-0.000000,0.015871,8.489638,70.761253
