NOTE: This is for the IREC 2025 Control Pendant, and will likely change when we use the new pendant.

Packet          Pendant buttons/state

02 00 FF 00     SYSTEM OFF
02 01 FE 00     SYSTEM ACTIVE
02 23 DC 00     SYSTEM ACTIVE + FILL MODE
02 13 EC 00     SYSTEM ACTIVE + FILL MODE + N2O
02 83 7C 00     SYSTEM ACTIVE + FILL MODE + PURGE
02 05 FA 00     SYSTEM ACTIVE + IGNITION MODE
02 45 BA 00     SYSTEM ACTIVE + IGNITION MODE + O2
02 4D B2 00     SYSTEM ACTIVE + IGNITION MODE + O2 + FIRE
02 0D F2 00     SYSTEM ACTIVE + IGNITION MODE + FIRE
